Isin;Name;LegalName;ProviderCompanyName;CategoryName;Currency;SRRI;TER;ManagementFee;InitialPurchase;Rent2026YTD;Rent2025;Rent2024;Rent2023;Rent2022;Volatilidad1A;Vol3A_est;MaxDD3A_est
LU0106238719;SCHRODER ISF ITALIAN EQUI;SCHRODER ISF ITALIAN EQUITY A EUR ACC;SCHRODER;RENTA VARIABLE EURO;EUR;4;1.6;1.25;1000;16.92;35.48;16.91;23.45;-14.48;14.949;13.92;-5.33
LU0323591833;SCHRODER ISF QEP GLOBAL Q;SCHRODER ISF QEP GLOBAL QUALITY A ACC EUR;SCHRODER;RENTA VARIABLE INTERNACIONAL;EUR;4;1.59;1.25;1000;14.42;6.94;21;10.91;-11.06;10.2573;12.16;-7.37
LU0149524034;SCHRODER ISF SWISS SMALL;SCHRODER ISF SWISS SMALL & MID CAP EQUITY A ACC CHF;SCHRODER;RENTA VARIABLE INTERNACIONAL;CHF;4;1.84;1.5;1000;2.88;11.66;-0.86;9.93;-22.11;12.9635;11.23;-6.48
DE0009769851;DWS HEALTH CARE TYP O NC;DWS HEALTHY LIVING NC ACC EUR;DWS INVESTMENTS;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;4;1.7;1.7;100;-3.64;-9.74;6.01;-3.99;-2.4;13.2431;10.71;-20.77
LU0179220255;DEUTSCHE CONVERTIBLES NC;DWS INVEST CONVERTIBLES NC;DWS INVESTMENTS;RENTA FIJA INTERNACIONAL;EUR;3;1.76;1.5;100;4.98;8.72;4.17;3.6;-17.66;9.7535;7.92;-4.31
LU0273165570;DWS INVEST GOLD AND PRECI;DWS INVEST GOLD AND PRECIOUS METALS LC USD ACC;DWS INVESTMENTS;RENTA VARIABLE INTERNACIONAL;USD;6;1.61;1.5;100;13.59;136.05;22.75;-0.02;-5.14;47.5958;31.39;-16.63
LU0781237614;DEUTSCHE INVEST II EUROPE;DWS INVEST II ESG EUROPEAN TOP DIVIDEND LC;DWS INVESTMENTS;RENTA VARIABLE EURO;EUR;4;1.58;1.5;100;5.4;17.63;5.7;8.01;-9.22;10.9365;7.36;-3.05
LU2220514363;DWS INVEST SHORT DURATION;DWS INVEST SHORT DURATION INCOME LC EUR ACC;DWS INVESTMENTS;RENTA FIJA INTERNACIONAL;EUR;2;0.75;0.6;100;-0.2;3.52;3.54;5;-4.99;1.3628;1.67;-0.54
LU0145648290;DEUTSCHE INVEST I TOP ASI;DWS INVEST TOP ASIA LC;DWS INVESTMENTS;RENTA VARIABLE INTERNACIONAL;EUR;4;1.62;1.5;100;20.65;14.59;11.62;-2.05;-12.37;21.5808;18.86;-4.15
LU0511520347;Deutsche Invest I Top Div;DWS INVEST TOP DIVIDEND GBP LD DS;DWS INVESTMENTS;RENTA VARIABLE INTERNACIONAL;GBP;3;1.6;1.5;200;12.05;10.03;5.04;-1.7;-3.23;9.9211;5.02;-3.9
