Isin;Name;LegalName;ProviderCompanyName;CategoryName;Currency;SRRI;TER;ManagementFee;InitialPurchase;Rent2026YTD;Rent2025;Rent2024;Rent2023;Rent2022;Volatilidad1A;Vol3A_est;MaxDD3A_est
LU0245182059;GS GLOBAL SMALL CAP CORE;GOLDMAN SACHS GLOBAL SMALL CAP CORE EQUITY PORTF E ACC SNAP EUR;GOLDMAN SACHS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;1.89;1.25;1500;16.91;10.06;18.09;13.21;-10.75;12.3766;11.81;-7.29
LU2972043942;GS GLOBAL SMALL CAP CORE;GOLDMAN SACHS GLOBAL SMALL CAP CORE EQUITY PORTFOL BASE ACC USD;GOLDMAN SACHS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;1.47;1.25;5000;17.71;;;;;15.3152;;
LU0333810694;GOLDMAN SACHS INDIA EQUIT;GOLDMAN SACHS INDIA EQUITY PORTFOLIO A ACC USD;GOLDMAN SACHS A.M.;RENTA VARIABLE MIXTA INTERNACIONAL;USD;4;2.43;1.75;1500;-5.53;-17;27.02;20;-11.39;14.8533;17.48;-30.16
LU1431484085;GOLDMAN SACHS US DOLLAR C;GOLDMAN SACHS US DOLLAR CREDIT P ACC EUR HEDGED;GOLDMAN SACHS A.M.;RENTA FIJA INTERNACIONAL;EUR;3;0.97;0.75;100;-3.03;5.26;-0.17;5.97;-19.14;3.8894;6.37;-3.75
LU1785488831;GS US CORE EQUITY PORTFOL;GS US CORE EQUITY PORTFOLIO E ACC EUR HEDGED SNA;GOLDMAN SACHS A.M.;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;4;1.65;1;100;5.23;11.48;25.22;20.99;-23.48;12.0633;14.53;-9.62
LU0757431738;Threadneedle (Lux) Global;CT (LUX) GLOBAL TECHNOLOGY DE EUR;THREADNEEDLE INVEST SERV;RENTA VARIABLE INTERNACIONAL;EUR;5;2.35;2;2500;50.91;17.03;33.71;37.89;-27.85;26.1067;31.02;-16.78
IE00BK26DX94;JANUS HENDERSON BALANCED;JANUS HENDERSON BALANCED A2 ACC EUR;JANUS HENDERSON INV.;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;1.86;1;2500;5.11;0.01;21.17;10.13;-12.34;7.3529;9.59;-6.45
LU1059379971;JANUS HENDERSON HORIZON P;JANUS HENDERSON HORIZON PAN EUROPEAN PROPERTY EQ A2 USD HDG ACC;JANUS HENDERSON INV.;RENTA VARIABLE EURO;USD;5;1.89;1.2;2500;-1.61;-5.03;3.47;18.2;-31.06;16.1714;13.91;-14.01
ES0113691002;BANKOA AHORRO, FI CLASE I;ABANCA AHORRO, FI CLASE I;//A GESTION ACTIVOS SGIIC;RENTA FIJA EURO;EUR;2;0.53;0.3;500000;-0.07;2.24;3.37;3.47;-5.21;1.1294;1.13;-0.23
ES0113691036;BANKOA AHORRO, FI CLASE R;ABANCA AHORRO, FI CLASE R;//A GESTION ACTIVOS SGIIC;RENTA FIJA EURO;EUR;2;0.7;0.55;0;-0.24;1.99;3.13;3.26;-5.4;1.1294;1.13;-0.29
ES0147597035;Abanca Renta Fija Flexibl;ABANCA BONOS CORPORATIVOS, FI SP;//A GESTION ACTIVOS SGIIC;RENTA FIJA MIXTA EURO;EUR;2;1.01;0.9;0;-1.12;3.74;2.21;4.61;-7.32;2.0234;2.4;-1.16
ES0106933007;Imantia Fondeposito FI;ABANCA FONDEPOSITO, FI INSTITUCIONAL;//A GESTION ACTIVOS SGIIC;RENTA FIJA EURO CORTO PLAZO;EUR;1;0.24;0.28;1000000;1.23;2.05;3.19;2.6;-0.6;0.0484;0.32;0.0
ES0106933031;Imantia Fondeposito FI;ABANCA FONDEPOSITO, FI MINORISTA;//A GESTION ACTIVOS SGIIC;RENTA FIJA EURO CORTO PLAZO;EUR;1;0.44;0.55;0;1.03;1.76;2.92;2.42;-0.92;0.0484;0.33;0.0
ES0133400012;Abanca Gestion Conservado;ABANCA GESTION, FI CONSERVADOR;//A GESTION ACTIVOS SGIIC;RENTA FIJA MIXTA EURO;EUR;2;1.5;1;0;-0.25;2.28;3.68;4.49;-6.17;1.6493;1.93;-0.92
ES0133400004;Abanca Gestion Decidido F;ABANCA GESTION, FI DECIDIDO;//A GESTION ACTIVOS SGIIC;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;1.79;1.2;0;4.66;4.56;9.62;10.83;-11.45;4.7202;5.2;-3.09
ES0133400020;Abanca Gestion Moderado F;ABANCA GESTION, FI MODERADO;//A GESTION ACTIVOS SGIIC;RENTA FIJA MIXTA INTERNACIONAL;EUR;2;1.63;1.1;0;1.12;3.22;5.3;6.43;-7.76;2.7974;2.86;-1.03
ES0151487008;ABANCA OBJETIVO 18 MESES,;ABANCA OBJETIVO 18 MESES, FI;//A GESTION ACTIVOS SGIIC;IIC OBJETIVO RENTABILIDAD NO GARANTIZADO;EUR;1;0.62;0;0;;;;;;0;;
ES0124524010;ABANCA RENTA FIJA GOBIERN;ABANCA RENTA FIJA GOBIERNOS, FI MINORISTA;//A GESTION ACTIVOS SGIIC;RENTA FIJA EURO;EUR;3;0.88;0.8;0;-2.08;1.42;1.55;;;2.7381;4.19;-1.81
ES0140073000;Abanca Renta Fija Mixta F;ABANCA RENTA FIJA MIXTA, FI SP;//A GESTION ACTIVOS SGIIC;RENTA FIJA MIXTA INTERNACIONAL;EUR;2;1.22;1.1;100;1.93;4.97;4.08;6.66;-6.12;2.3916;2.21;-0.35
ES0119483016;ABANCA RENTA FIJA PATRIMO;ABANCA RENTA FIJA PATRIMONIO, CLASE I;//A GESTION ACTIVOS SGIIC;RENTA FIJA EURO;EUR;2;0.43;0.4;500000;0.21;3.15;4.12;4.54;-3.23;1.1388;1.51;-0.61
ES0119483008;Abanca Renta Fija Corto P;ABANCA RENTA FIJA PATRIMONIO, FI CLASE A;//A GESTION ACTIVOS SGIIC;RENTA FIJA EURO;EUR;2;0.58;0.6;0;0.07;2.94;3.94;4.36;-3.36;1.1387;1.5;-0.66
ES0106949037;Imantia Flexible FI;ABANCA RENTA VARIABLE CRECIMIENTO, FI MINORISTA;//A GESTION ACTIVOS SGIIC;RENTA VARIABLE INTERNACIONAL;EUR;4;2.04;1.5;0;7.86;4.13;14.5;10.47;-23.74;12.689;11.38;-5.86
ES0162948006;Abanca Renta Variable Esp;ABANCA RENTA VARIABLE DIVIDENDO, FI MINORISTA;//A GESTION ACTIVOS SGIIC;RENTA VARIABLE INTERNACIONAL;EUR;3;1.62;1.5;0;17.31;14.62;10.05;21.45;-2.71;8.0769;6.75;-3.39
ES0115418032;Abanca Renta Variable Mix;ABANCA RENTA VARIABLE MIXTA FI SP;//A GESTION ACTIVOS SGIIC;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;1.46;1.2;500;6.61;9.62;5.17;11.23;-7.98;4.1363;4.08;-1.71
LU1090960755;EURIZON FUND - CONSERVATI;EURIZON FUND - CONSERVATIVE AL R ACC EUR;EURIZON CAPITAL S.A;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;1.64;1.4;500;4.68;5.39;4.97;8.23;-12.04;5.1746;5.55;-1.85
LU0566417696;MARCH INTERNATIONAL VINI;MARCH INTERNATIONAL - MARCH UNIVERSAL BRANDS A ACC EUR;FUNDROCK MG - MARCH INTER;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;4;2.26;;100;8.06;-0.96;-12.95;-7.16;-5.29;9.4473;10.46;-24.99
LU0982163676;MARCH INTERNATIONAL VINI;MARCH INTERNATIONAL - MARCH UNIVERSAL BRANDS P ACC EUR;FUNDROCK MG - MARCH INTER;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;4;1.51;;500000;8.1;-0.12;-12.27;-6.45;-4.58;8.592;10.07;-23.79
LU0701410861;MARCH INTERNATIONAL FAMIL;MARCH INTERNATIONAL FAMILY BUSINESSES A ACC EUR;FUNDROCK MG - MARCH INTER;RENTA VARIABLE INTERNACIONAL;EUR;4;2.26;2;100;8.64;-2.62;7.86;5.85;-10.84;11.6486;9.39;-9.33
LU1670726402;M&G (Lux) GLOBAL HIGH YIE;M&G (Lux) GLOBAL HIGH YIELD BOND FUND A H EUR ACC;M&G LUXEMBOURG;RENTA FIJA INTERNACIONAL;EUR;2;1.23;1;1000;-0.16;3.35;6.35;7.89;-13.25;2.6417;3.86;-1.89
LU1670628491;M&G (LUX) GLOBAL THEMES F;M&G (LUX) GLOBAL THEMES FUND A ACC EUR;M&G LUXEMBOURG;RENTA VARIABLE INTERNACIONAL;EUR;4;2.08;1.75;1000;12.82;8.3;8.14;8.27;-8.47;9.8187;6.58;-2.51
LU1670628905;M&G (LUX) GLOBAL THEMES F;M&G (LUX) GLOBAL THEMES FUND A ACC USD;M&G LUXEMBOURG;RENTA VARIABLE INTERNACIONAL;USD;4;2.07;1.75;1000;13.38;8.05;8.12;8.43;-8.32;12.3311;6.71;-2.66
LU1900801454;M&G (LUX) SUSTAINABLE ALL;M&G (LUX) SUSTAINABLE ALLOCATION A-H ACC USD HEDGED;M&G LUXEMBOURG;RENTA VARIABLE MIXTA INTERNACIONAL;USD;3;1.82;1.5;1000;7.02;-4.42;10.36;6.83;-7.72;6.4503;7.51;-9.0
LU1582988488;M&G DYNAMIC ALLOCATION FU;M&G DYNAMIC ALLOCATION FUND EUR C ACC;M&G LUXEMBOURG;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;0.92;0.75;500000;4.59;14.11;3.64;8.11;-2.1;6.0689;4.91;-3.01
LU1582988645;M&G DYNAMIC ALLOCATION FU;M&G DYNAMIC ALLOCATION FUND EUR C DIS;M&G LUXEMBOURG;RENTA VARIABLE MIXTA INTERNACIONAL;EUR;3;0.92;0.75;500000;1.52;9.89;-0.85;4.26;-4.28;6.2516;4.9;-4.09
LU1670707956;M&G LUX EUROPEAN STRATEGI;M&G LUX EUROPEAN STRATEGIC VALUE A USD ACC;M&G LUXEMBOURG;RENTA VARIABLE EURO;USD;4;1.71;1.5;1000;12.79;31.64;14.93;13.7;1.94;14.7232;7.08;-1.29
LU0757428866;THREADNEEDLE (LUX) GLOBAL;CT (LUX) - GLOBAL SMALLER COMPANIES AU ACC USD;THREADNEEDLE MANAG LUX;RENTA VARIABLE INTERNACIONAL;USD;4;1.8;1.5;100;7.33;-15.09;5.62;17.65;-30.96;18.7721;17.2;-15.21
LU1829329819;THREADNEEDLE (LUX)-PAN EU;CT (LUX) - PAN EUROPEAN SMALLER COMPANIES 1E EUR ACC;THREADNEEDLE MANAG LUX;RENTA VARIABLE EURO;EUR;4;1.72;1.5;100;5.79;6.31;-0.92;8.77;-34.5;13.2562;11.55;-9.29
LU1829330312;THREADNEEDLE (LUX)-PAN EU;CT (LUX) - PAN EUROPEAN SMALLER COMPANIES 1U USD HDG ACC;THREADNEEDLE MANAG LUX;RENTA VARIABLE EURO;USD;4;1.72;1.5;100;9.18;-3.95;7.07;7.33;-28.06;13.3143;9.79;-8.23
LU0713323730;THREADNEEDLE  UK EQUITIES;CT (LUX) UK EQUITIES AEH EUR ACC;THREADNEEDLE MANAG LUX;RENTA VARIABLE EURO;EUR;4;1.82;1.5;2500;4.96;8.85;3.08;9.52;-8.19;11.1464;5.03;-2.36
LU1475748437;THREADNEEDLE (LUX) UK EQU;CT (LUX) UK EQUITY INCOME AE EUR ACC;THREADNEEDLE MANAG LUX;RENTA VARIABLE EURO;EUR;4;1.8;1.5;2500;5.43;5.5;16.85;11.8;-8.76;12.721;6.37;-3.7
LU1860994273;DNCA INVEST - ALPHA BONDS;DNCA INVEST - ALPHA BONDS H-A ACC USD HEDEGED;DNCA FINANCE;RENTA FIJA MIXTA INTERNACIONAL;USD;2;1.35;1.2;2500;3.97;-5.41;12.04;2.92;14.25;2.2378;7.19;-7.66
LU2451378850;DNCA INVEST ARCHER MID-CA;DNCA INVEST ARCHER MID-CAP EUR H-WA ACC USD;DNCA FINANCE;RENTA VARIABLE INTERNACIONAL;USD;4;2.33;2.2;2500;9.06;5.18;15.21;;;12.3054;9.38;-3.07
LU1366712435;DNCA INVEST ARCHER MID-CA;DNCA INVEST ARCHER MID-CAP EUROPE H-A ACC EUR;DNCA FINANCE;RENTA VARIABLE INTERNACIONAL;EUR;4;1.68;1.6;2500;6.22;17.07;7.19;13.3;-18.01;12.2909;10.76;-5.42
FR0010286013;Sextant Grand Large;SEXTANT GRAND LARGE A ACC EUR;AMIRAL GESTION;RENTA VARIABLE EURO;EUR;2;1.7;1.7;100;-0.9;2.86;1.17;9.19;-5.32;5.7339;4.52;-4.91
LU1989766289;CPR INVEST GLOBAL GOLD MI;CPR INVEST GLOBAL GOLD MINES A USD ACC;CPR ASSET MANAGEMENT (LU);RENTA VARIABLE INTERNACIONAL;USD;6;2.05;1.7;100;10.51;127.81;20.94;1.29;-4.04;52.8661;30.97;-15.92
IE00B1BXJ072;FRANKLIN PUTNAM US RESEAR;FRANKLIN PUTNAM US RESEARCH A ACC EUR;FRANKLIN TEMPLETON;RENTA VARIABLE INTERNACIONAL;EUR;4;1.74;1.25;1000;16.54;5.43;29.12;15.27;-10.72;10.2884;13.04;-8.02
IE00B1BXHZ80;FRANKLIN PUTNAM US RESEAR;FRANKLIN PUTNAM US RESEARCH A ACC USD;FRANKLIN TEMPLETON;RENTA VARIABLE INTERNACIONAL;USD;4;1.25;1.25;1000;16.59;5.78;28.8;14.77;-10.85;12.4126;12.89;-7.76
LU0294219869;TEMPLETON GLOBAL BOND FUN;TEMPLETON GLOBAL BOND FUND A ACC EUR H 1;FRANKLIN TEMPLETON;RENTA FIJA INTERNACIONAL;EUR;3;1.35;1.05;1000;2.6;13.8;-13.58;-0.49;-7.3;8.0094;12.64;-13.58
LU0152981543;Templeton Global Bond Fun;TEMPLETON GLOBAL BOND FUND A DIS EUR;FRANKLIN TEMPLETON;RENTA FIJA INTERNACIONAL;EUR;3;1.35;1.05;1000;1.72;-3.74;-11.23;-5.33;-3.85;4.9204;6.43;-15.18
LU0029871042;TEMPLETON GLOBAL BOND FUN;TEMPLETON GLOBAL BOND FUND A MDIS USD;FRANKLIN TEMPLETON;RENTA FIJA INTERNACIONAL;USD;3;1.35;1.05;1000;1.59;-3.53;-11.31;-5.75;-3.99;8.3563;6.12;-15.13
FR0010996736;LA FRANCAISE PROTECTAUX R;LA FRANCAISE PROTECTAUX R ACC EUR;LA FRANCAISE AM;RENTA FIJA EURO;EUR;3;0.54;1.113;100;4.98;5.25;6.57;-3.22;21.73;4.2849;6.09;-6.38
LU1165135879;BNP PARIBAS AQUA P ACC EU;BNP PARIBAS AQUA P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;1.15;0.9;3000000;5.59;0.51;6.12;17.84;-17.25;13.3279;10.68;-6.1
LU1789408488;BNP PARIBAS AQUA P ACC US;BNP PARIBAS AQUA P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;1.15;0.9;3000000;5.68;0.79;5.81;17.72;-17.52;15.6052;10.68;-5.92
LU1956131418;BNP PARIBAS SUSTAINABLE A;BNP PARIBAS ASIA EXJAPAN EQUITY C ACC EUR A;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;1.06;0.75;3000000;37.48;13.64;19.64;-3.34;-16.72;24.1314;22.78;-3.24
LU0823397368;Parvest Equity Best Sel A;BNP PARIBAS ASIA EXJAPAN EQUITY CLASSIC EUR CAP;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;1.96;1.5;100;36.6;12.52;18.57;-4.21;-17.46;24.1266;22.72;-3.67
LU0265266980;PARVEST EQUITY BRASIL CLA;BNP PARIBAS BRAZIL EQUITY CLASSIC USD CAP;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;5;2.23;1.75;100;15.02;32.75;-28.98;16.72;8.85;27.1364;19.42;-28.98
LU0265313147;BNP PARIBAS BRAZIL EQUITY;BNP PARIBAS BRAZIL EQUITY P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;5;1.21;0.9;3000000;15.85;34.08;-28.24;17.89;9.9;27.1529;19.47;-28.24
LU0823426993;PARVEST EQUITY CHINA P US;BNP PARIBAS CHINA EQUITY P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;5;1.21;0.9;3000000;0.93;17.41;19.51;-21.54;-23.21;17.2625;16.56;-14.16
LU0823415285;BNP PARIBAS ENERGY TRANSI;BNP PARIBAS CLEAN ENERGY SOLUTIONS P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;6;1.07;0.75;3000000;-3.82;40.38;-16.04;-25.1;-35.04;37.671;33.13;-51.41
LU0823421333;PARVEST DISRUPTIVE TECHNO;BNP PARIBAS DISRUPTIVE TECHNOLOGY CLASSIC ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;5;1.96;1.5;100;26.06;8.5;27.34;36.21;-26.43;22.8014;24.17;-14.47
LU0823422497;BNP PARIBAS DISRUPTIVE TE;BNP PARIBAS DISRUPTIVE TECHNOLOGY P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;5;1.06;0.75;3000000;24.05;9.17;28.87;37.55;-25.51;23.8056;24.12;-14.45
LU1799948523;BNP PARIBAS DISRUPTIVE TE;BNP PARIBAS DISRUPTIVE TECHNOLOGY P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;5;1.06;0.75;3000000;26.87;9.48;28.49;37.43;-25.75;22.8035;24.23;-14.27
LU0089276934;PARVEST BOND WORLD EMERGI;BNP PARIBAS EMERGING BOND CLASSIC USD CAP;BNP PARIBAS A.M.;GLOBAL;USD;3;1.45;1.1;500;2.28;-0.18;14.49;6.86;-15.42;6.6566;7.47;-7.16
LU0111464060;PARVEST BOND WORLD EMERGI;BNP PARIBAS EMERGING BOND PRIVILEGE USD CAP;BNP PARIBAS A.M.;GLOBAL;USD;3;0.86;0.55;3000000;2.75;0.52;15.31;7.59;-14.85;6.6627;7.47;-6.82
LU0823413587;PARVEST EQUITY WORLD EMER;BNP PARIBAS EMERGING EQUITY CLASSIC USD CAP;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;2.21;1.75;550;33.37;14.15;17.43;1.81;-17.8;25.0086;20.78;-2.56
LU0823414049;BNP PARIBAS EMERGING EQUI;BNP PARIBAS EMERGING EQUITY P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;1.21;0.9;3000000;34.32;15.29;18.6;2.84;-16.99;25.0086;20.83;-2.31
LU0131210360;PARVEST BOND EURO CORPORA;BNP PARIBAS EURO CORPORATE BOND CLASSIC EUR CAP;BNP PARIBAS A.M.;RENTA FIJA EURO;EUR;2;1.12;0.75;100;-1.46;2.77;4.96;8.5;-15.03;2.8482;3.68;-1.27
LU0131212812;BNP PARIBAS EURO CORPORAT;BNP PARIBAS EURO CORPORATE BOND P ACC EUR;BNP PARIBAS A.M.;RENTA FIJA EURO;EUR;2;0.67;0.4;3000000;-1.15;3.24;5.45;8.99;-14.65;2.8493;3.69;-1.16
LU0823401574;Parvest Equity Best Selec;BNP PARIBAS EURO EQUITY CLASSIC EUR CAP;BNP PARIBAS A.M.;RENTA VARIABLE EURO;EUR;4;1.96;1.5;100;8.4;16.12;0.52;15.07;-12.07;13.685;12.04;-6.33
LU0823402036;BNP PARIBAS EURO EQUITY P;BNP PARIBAS EURO EQUITY P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE EURO;EUR;4;1.06;0.75;3000000;9.1;17.16;1.43;16.11;-11.27;13.6852;12.07;-6.12
LU2355554762;BNP PARIBAS EURO FLEXIBLE;BNP PARIBAS EURO FLEXIBLE BOND P ACC EUR;BNP PARIBAS A.M.;RENTA FIJA INTERNACIONAL;EUR;2;0.69;0.4;3000000;-0.2;3.13;3.28;1.45;;3.0268;2.45;-1.87
LU0111549217;PARVEST BOND EURO GOVERNM;BNP PARIBAS EURO GOVERNMENT BOND PRIVILEGE EUR CAP;BNP PARIBAS A.M.;RENTA FIJA EURO;EUR;3;0.56;0.35;3000000;-2.86;0.5;0.91;6.25;-16.7;4.1208;5.22;-2.65
LU0823381362;BNP PARIBAS EURO HIGH YIE;BNP PARIBAS EURO HIGH YIELD BO P ACC EUR;BNP PARIBAS A.M.;RENTA FIJA INTERNACIONAL;EUR;2;0.87;0.6;3000000;1.42;5;9.54;12.41;-12.46;2.5669;3.25;-1.11
LU0823380802;BNP PARIBAS EURO HIGH YIE;BNP PARIBAS EURO HIGH YIELD BOND C ACC EUR;BNP PARIBAS A.M.;RENTA FIJA INTERNACIONAL;EUR;2;1.57;1.2;275;0.92;4.26;8.76;11.62;-13.08;2.5717;3.24;-1.28
LU0190304583;PARVEST BOND EURO INFLATI;BNP PARIBAS EURO INFLATION-LINKED BOND CLASSIC EUR CAP;BNP PARIBAS A.M.;RENTA FIJA EURO;EUR;3;0.96;0.75;100;-0.32;0.55;-0.56;4.88;-9.79;3.168;4.51;-3.35
LU0190306364;BNP PARIBAS EURO INFLATIO;BNP PARIBAS EURO INFLATION-LINKED BOND P ACC EUR;BNP PARIBAS A.M.;RENTA FIJA EURO;EUR;3;0.56;0.4;3000000;-0.04;0.97;-0.16;5.31;-9.41;3.1602;4.52;-3.26
LU0111463849;BNP PARIBAS EURO MEDIUM T;BNP PARIBAS EURO MEDIUM TERM B PRIVILEGE ACC EUR;BNP PARIBAS A.M.;RENTA FIJA EURO;EUR;2;0.52;0.25;3000000;-1.43;2.57;2.96;5.59;-9.61;2.5232;2.76;-0.88
LU0086914362;BNP PARIBAS EURO MEDIUM T;BNP PARIBAS EURO MEDIUM TERM BOND CLASSIC ACC EUR;BNP PARIBAS A.M.;RENTA FIJA EURO;EUR;2;0.87;0.5;100;-1.67;2.23;2.59;5.21;-9.92;2.5231;2.76;-0.97
LU0823400766;BNP PARIBAS EUROPE EQUITY;BNP PARIBAS EUROPE EQUITY P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE EURO;EUR;4;1.06;0.75;3000000;8.15;15.27;-0.26;13.27;-10.96;12.2265;9.83;-6.46
LU0823404248;PARVEST EQUITY EUROPE GRO;BNP PARIBAS EUROPE GROWTH CLASSIC EUR CAP;BNP PARIBAS A.M.;RENTA VARIABLE EURO;EUR;4;1.96;1.5;100;0.08;4.46;-1.13;10.81;-15.12;14.1825;10.65;-11.1
LU0823404834;BNP PARIBAS EUROPE GROWTH;BNP PARIBAS EUROPE GROWTH P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE EURO;EUR;4;1.06;0.75;3000000;0.72;5.39;-0.23;11.81;-14.35;14.1854;10.68;-9.7
LU0212180813;BNP PARIBAS EUROPE SMALL;BNP PARIBAS EUROPE SMALL CAP P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE EURO;EUR;4;1.21;0.9;3000000;9.64;25.36;7.8;9.41;-21.59;11.6269;9.34;-3.15
LU1956132143;BNP PARIBAS FUND EURO BON;BNP PARIBAS FUNDS GLOBAL INCOM C RH EUR CAP;BNP PARIBAS A.M.;RENTA FIJA INTERNACIONAL;EUR;3;1.21;0.9;100;-1.67;5.63;2.15;7.57;-17.5;5.149;5.86;-2.28
LU1956132572;BNP PARIBAS FUNDS GLOBAL;BNP PARIBAS FUNDS GLOBAL INCOME BOND P RH ACC EUR HEDGED;BNP PARIBAS A.M.;RENTA FIJA INTERNACIONAL;EUR;3;0.71;0.45;3000000;-1.33;6.17;2.63;8.04;-17.12;5.1434;5.88;-2.05
LU0194438841;PARVEST EQUITY JAPAN SMAL;BNP PARIBAS FUNDS JAPAN SMALL CAP CLASSIC H EUR;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;2.31;1.85;100;27.01;33.52;26.77;26.39;-11.97;17.6307;13.07;-4.23
LU0925122235;PARVEST EQUITY JAPAN SMAL;BNP PARIBAS FUNDS JAPAN SMALL PRIVILEGE H EUR CAP;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;4;1.27;0.95;3000000;27.96;35.13;27.99;27.58;-11.11;17.6223;13.08;-3.87
LU0956005226;PARVEST EQUITY BEST SELEC;BNP PARIBAS GLOBAL MEGATRENDS C USD ACC;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;1.96;1.5;100;8.36;4.68;28.74;15.61;-18.71;13.948;12.15;-5.8
LU0950374610;BNP PARIBAS GLOBAL MEGATR;BNP PARIBAS GLOBAL MEGATRENDS P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;1.06;0.75;3000000;9.05;5.66;29.91;16.65;-17.98;13.9474;12.18;-5.59
LU0823428932;PARVEST EQUITY INDIA CLAS;BNP PARIBAS INDIA EQUITY CLASSIC USD CAP;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;2.21;1.75;100;-8.22;-11.76;19.43;16.04;-2.33;15.0098;15.14;-25.73
LU0823429583;BNP PARIBAS INDIA EQUITY;BNP PARIBAS INDIA EQUITY P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;1.21;0.9;3000000;-7.57;-10.87;20.65;17.19;-1.36;15.0142;15.18;-24.58
LU0111445861;BNP PARIBAS JAPAN EQUITY;BNP PARIBAS JAPAN EQUITY P ACC JPY;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;JPY;4;1.06;0.75;3000000;32.44;17.12;13.15;15.95;-8.47;18.2985;10.91;-1.54
LU1956163023;BNP PARIBAS SUSTAINABLE U;BNP PARIBAS RESPONSIBLE US MULTI-FACTOR EQUITY CLASSIC ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;1.46;1.5;100;16.26;2.05;28.83;12.32;-9.59;11.1256;14.38;-8.39
LU1956163882;BNP PARIBAS SUSTAINABLE U;BNP PARIBAS RESPONSIBLE US MULTI-FACTOR EQUITY P ACC USD;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;USD;4;0.91;0.75;3000000;16.8;2.72;29.67;13.03;-9.02;11.131;14.4;-8.24
LU0823417810;PARVEST EQUITY WORLD LOW;BNP PARIBAS SUSTAINABLE GLOBAL LOW VOL EQUITY CLASSIC EUR CAP;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;3;1.97;1.5;100;2.54;-5.89;14.93;8.49;-10.59;8.9815;8.43;-12.25
LU0823418545;BNP PARIBAS SUSTAINABLE G;BNP PARIBAS SUSTAINABLE GLOBAL LOW VOL EQUITY P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;3;1.07;0.75;3000000;3.2;-5.03;15.96;9.47;-9.78;8.9811;8.45;-11.44
LU0823433932;PARVEST EQUITY TURKEY P E;BNP PARIBAS TURKEY EQUITY P ACC EUR;BNP PARIBAS A.M.;RENTA VARIABLE INTERNACIONAL;EUR;6;1.21;0.9;3000000;6.23;-20.58;43.29;10.48;115.69;23.1346;38.22;-27.25
LU0012182399;PARVEST BOND USD SHORT DU;BNP PARIBAS USD SHORT DURATION BOND CLASSIC USD CAP;BNP PARIBAS A.M.;RENTA FIJA INTERNACIONAL;USD;2;0.81;0.5;500;3.18;-6.53;10.95;0.81;1.54;1.8177;6.63;-8.38
LU0111478441;BNP PARIBAS USD SHORT DUR;BNP PARIBAS USD SHORT DURATION BOND P ACC USD;BNP PARIBAS A.M.;RENTA FIJA INTERNACIONAL;USD;2;0.51;0.25;3000000;3.41;-6.25;11.28;1.13;1.84;1.817;6.63;-8.23
